period,tfp_mock,k_effective,y_effective,c_effective,k_per_worker,y_per_worker
42.0,1.125788773530105,4.217926088057633,1.6079874635773035,1.2542302215902967,4.748493837515036,1.810254234472477
43.0,1.1118422093359994,4.243261757209786,1.6111684231275973,1.256711370039526,4.717837526927084,1.7913650591825863
44.0,1.136512674373159,4.26732451908481,1.6141778050441418,1.2590586879344305,4.849868401603232,1.8345335341245133
45.0,1.1577392646625952,4.290175739342883,1.617025159760596,1.261279624613265,4.966904905740136,1.872093519402148
46.0,1.1259547853311063,4.31187410660782,1.6197194743224328,1.2633811899714977,4.854975284080363,1.823730893007327
47.0,1.151031002444087,4.332475716964512,1.6222692090688273,1.2653699830736853,4.9868138675623275,1.8672821539486686
48.0,1.1584353882983822,4.352034159947135,1.6246823315523176,1.2672522186108077,5.041550381966183,1.88208950761333
49.0,1.154299843536295,4.370600605294355,1.6269663479442744,1.2690337513965342,5.04498359485091,1.8780070008708933
50.0,1.172948158892973,4.388223889858693,1.6291283321477326,1.2707200990752314,5.147159132419915,1.9108830777930628
51.0,1.1689163849482689,4.4049506041536715,1.6311749528159185,1.2723164631964166,5.149018936083003,1.9067071290637465
52.0,1.1541652556800777,4.420825178106177,1.6331124984544239,1.2738277487944507,5.102362822005841,1.8848817043329806
53.0,1.1819002985651264,4.435889965654354,1.6349469007670223,1.2752585825982774,5.242779674808929,1.9323442301546716
54.0,1.180162000165141,4.450185327894507,1.6366837563892698,1.2766133299836304,5.251939617673545,1.931551975578157
55.0,1.182824595159829,4.463749714535295,1.6383283471400154,1.2778961107692122,5.279832948990013,1.9378550639447607
56.0,1.18742023511325,4.476619743464976,1.6398856589085062,1.279110813948635,5.315628868297798,1.9472334146599852
57.0,1.1730928139085197,4.488830278278444,1.6413603992837278,1.2802611114413076,5.265814542303423,1.9254680894337597
58.0,1.1681482855462335,4.500414503646215,1.6427570140227783,1.2813504709377672,5.257151486681729,1.9189837894997583
59.0,1.1492450460976675,4.51140399843797,1.6440797024462903,1.2823821679081064,5.184708696150047,1.8894504534261265
60.0,1.1689846727181528,4.521828806539465,1.6453324318410691,1.283359296836034,5.285948567500052,1.9233683943482947
61.0,1.1521843100919846,4.53171750532397,1.64651895094308,1.2842847817356025,5.2213738074034675,1.897093301545731
62.0,1.1515961707317408,4.541097271758565,1.647642802567599,1.2851613860027273,5.229510229077518,1.8974191421705608
63.0,1.1400340641824596,4.549993946141812,1.6487073354476771,1.2859917216491883,5.187148090425636,1.879582524277849
64.0,1.1416628702637004,4.558432093483061,1.6497157153369408,1.286778257962814,5.20419266774804,1.8834191786907055
65.0,1.14537626361631,4.566435062545186,1.6506709354281475,1.287523329633955,5.230286329984517,1.890639308480731
66.0,1.1656001847779207,4.574025042582134,1.6515758261347417,1.2882291443850986,5.331484434812572,1.925077088117402
67.0,1.12736030566479,4.5812231178106515,1.6524330642788811,1.2888977901375274,5.164689094413618,1.862887444436045
68.0,1.134700817496591,4.58804931966202,1.6532451817259761,1.2895312417462614,5.206063313735172,1.875938659226765
69.0,1.1558224217993394,4.594522676864911,1.654014573502685,1.2901313673320944,5.310452327385986,1.9117471300372748
70.0,1.1721868639726942,4.600661263414572,1.654743505432469,1.290699934237326,5.39283469856258,1.939668600312069
71.0,1.16554617142692,4.606482244486806,1.6554341213202444,1.2912386146297907,5.3690677438076815,1.9294849021542981
72.0,1.1409612658900576,4.612001920357554,1.6560884497153083,1.2917489907779405,5.262115549338532,1.8895327740130812
73.0,1.1387158800715325,4.617235768390605,1.656708410279582,1.292232560018074,5.257719691500666,1.8865201754334235
74.0,1.1782116146253834,4.622198483157012,1.657295819786239,1.2926907394332665,5.445927937959421,1.9526451837422432
75.0,1.171949622279388,4.626904014750382,1.657852397771995,1.293124870262156,5.422498412409694,1.9429194913638672
76.0,1.1746239868880552,4.631365605362311,1.6583797718646822,1.2935362220544522,5.440113132106889,1.9479726594021964
77.0,1.2074527127469812,4.635595824182007,1.6588794828062217,1.293925996588853,5.597262753107143,2.0030185316346816
78.0,1.217310429507924,4.639606600683565,1.6593529891897085,1.2942953315679726,5.6478415038259095,2.0199476999757815
79.0,1.2145421844717659,4.64340925636354,1.6598016719280482,1.2946453041038777,5.639616421620192,2.015899148413381
80.0,1.2244046792356302,4.647014534990438,1.660226838470398,1.2949769340069104,5.689826341118279,2.032789509615732
